Lethal Weapon;Ocean;Dec-92
Liberty or Death ;Koei;Apr-94
Lock On;Vic Tokai;Oct-93
Looney Tunes B-Ball!;Acclaim;Feb-95
"Lord of the Rings: Volume 1 , The";Interplay;Oct-94
"Lost Vikings , The";Interplay;Apr-93
"Lost Vikings 2, The";Interplay;May-97
Lufia & The Fortress of Doom;Taito Software;Dec-93
Lufia 2: Rise of the Sinistrals;Natsume;Aug-96
Madden '96;EA Sports;Nov-95
Madden NFL '94;EA Sports;Oct-93
Madden NFL '95;EA Sports;Nov-94
Madden NFL '97;Electronic Arts;Oct-96
Madden NFL '98;THQ;Nov-97
Magic Boy;JVC;Aug-96
Magic Sword;Capcom;Aug-92
"Magical Quest starring Mickey Mouse, The";Capcom;Dec-92
Mario is Missing!;Software Toolworks;Jun-93
Mario Paint ;Nintendo;Aug-92
Mario's Early Years:  Fun with Numbers;Software Toolworks;Sep-94
Mario's Early Years: Fun with Letters ;Software Toolworks;Oct-94
Mario's Early Years: Pre-School;Mindscape;Nov-94
Mario's Time Machine;Mindscape;Dec-93
Mark Davis':  The Fishing Master;Natsume;Apr-96
Marvel Super Heroes: War of the Gems;Capcom;Nov-96
Mary Shelley's Frankenstein;Sony Imagesoft;Nov-94
"Mask, The";Black Pearl Software;Oct-95
Math Blaster: Episode 1;Davidson Assoc.;Oct-94
Maui Mallard in Cold Shadow;Nintendo;Nov-96
Mecarobot Golf;Toho;Sep-93
MechWarrior;Activision;May-93
MechWarrior 3050;Activision;Oct-95
Mega Man 7;Capcom;Sep-95
Mega Man Soccer;Capcom;Apr-94
Mega Man X ;Majesco;Jan-94
Mega Man X2;Capcom;Jan-95
Mega Man X3;Capcom;Jan-96
Metal Combat: Falcon's Revenge;Nintendo;Dec-93
Metal Marines;Namco;Dec-93
Metal Morph;FCI;Dec-94
Metal Warriors;Konami;Apr-95
Michael Andretti's Indy Car Challenge;Bullet Proof Software;Sep-94
Michael Jordan in Chaos in the Windy City;Electronic Arts;Nov-94
Mickey Mania: The Timeless Adventures of Mickey Mouse;Sony Imagesoft;Oct-94
Mickey's Ultimate Challenge;Hi-Tech;Feb-94
Micro Machines;Ocean;Dec-94
Might & Magic III: Isles of Terra;FCI;Jan-95
Mighty Max;Ocean;Feb-95
Mighty Morphin Power Rangers;Bandai;Sep-94
Mighty Morphin Power Rangers - The Movie;Bandai;Jun-95
Mighty Morphin Power Rangers Fighting Edition;Bandai;Sep-95
MLBPA Baseball;EA Sports;Mar-94
Mohawk and Headphone Jack;Black Pearl Software;Aug-96
Monopoly;Majesco;Sep-92
Mortal Kombat;Acclaim;Sep-93
Mortal Kombat II;Acclaim;Sep-94
Mortal Kombat III;Midway;Oct-95
Mountain Bike Rally;Life Fitness;Oct-94
Mr. Do!;Black Pearl Software;Dec-96
Mr. Nutz;Ocean;Aug-94
Ms. Pac Man;Midway;Sep-96
Musya: The Classic Japanese Tale of Horror;Seta;Dec-92
Mutant Chronicles: Doomtroopers;Playmates;Nov-95
Natsume Championship Wrestling;Natsume;Jun-94
NBA All-Star Challenge;LJN;Dec-92
NBA Give 'N Go;Konami;Nov-95
NBA Hang Time;Midway;Nov-96
NBA Jam;Acclaim;Mar-94
NBA Jam Tournament Edition;Acclaim;Feb-95
NBA Live '95;EA Sports;Oct-94
NBA Live '96;EA Sports;Oct-95
NBA Live '97;EA Sports;Dec-96
NBA Live '98;THQ;Mar-98
NBA Showdown;EA Sports;Oct-93
NCAA Basketball;Nintendo;Oct-92
NCAA Final Four Basketball;Mindscape;Feb-95
NCAA Football;Mindscape;Oct-94
Newman Haas' Indy Car Racing: Featuring Nigel Mansell;Acclaim;Nov-94
NFL Football;Konami;Jul-93
NFL MVP Football;Capcom;Oct-93
NFL Quarterback Club;LJN;Dec-94
NFL Quarterback Club '96;Acclaim;Nov-95
NHL '94;EA Sports;Oct-93
NHL '95;EA Sports;Nov-94
NHL '96;EA Sports;Sep-95
NHL '97;Black Pearl Software;Oct-96
NHL '98;THQ;Dec-97
NHL Stanley Cup;Nintendo;Nov-93
NHLPA Hockey '93;EA Sports;Dec-92
Nickelodeon GUTS;Viacom New Media;Nov-94
Nigel Mansell's World Championship Racing;Gametek;Jul-93
Ninja Gaiden Trilogy;Tecmo;Aug-95
"Ninja Warriors, The";Taito Software;Feb-94
No Escape;Sony Imagesoft;Nov-94
Nobunaga's Ambition;Koei;Dec-93
Nobunaga's Ambition: Lord of Darkness ;Koei;Oct-94
Nolan Ryan's Baseball;Romstar;Feb-92
Nosferatu;Seta;Oct-95
Obitus;Bullet Proof Software;Sep-94
Ogre Battle;Enix;May-95
Olympic Summer Games;Black Pearl Software;Jun-96
On the Ball;Taito Software;Nov-92
Operation Europe: Path to Victory;Koei;Jun-94
Operation Logic Bomb;Jaleco;Sep-93
Operation Thunderbolt;Taito Software;Oct-94
Oscar;Titus;Oct-96
Out of This World ;Interplay;Nov-92
Out to Lunch;Mindscape;Nov-93
Outlander;Mindscape;Apr-93
P.T.O.: II;Koei;Dec-95
P.T.O.: Pacific Theater of Operations;Koei;Sep-93
Pac-Attack;Namco;Oct-93
Pac-in-Time;Namco;Jan-95
Packy and Marlon;Raya Systems;Jun-95
Pac-Man 2: The New Adventures ;Majesco;Sep-94
"Pagemaster, The";Fox Interactive;Nov-94
Paladin's Quest ;Enix;Oct-93
Paperboy 2 ;Majesco;Nov-91
"Peace Keepers, The";Jaleco;Mar-94
PGA European Tour;Black Pearl Software;Sep-96
PGA Tour '96;Black Pearl Software;Jan-96
PGA Tour Golf;EA Sports;Mar-92
Phalanx: The Enforce Fighter A-144;Kemco;Oct-92
Phantom 2040;Viacom New Media;Jun-95
Pieces;Atlus Software;Dec-94
Pilotwings;Nintendo;Aug-91
Pinball Dreams;Gametek;Apr-94
Pinball Fantasies;Gametek;Feb-95
Pink Panther in Pink Goes to Hollywood;TecMagik;Nov-93
Pinocchio;Nintendo;Nov-96
"Pirates of Dark Water, The";Sunsoft;May-94
Pitfall: The Mayan Adventure;Majesco;Nov-94
Pit-Fighter;THQ;Mar-92
Plok;Tradewest;Sep-93
Pocky & Rocky;Natsume;Jun-93
Pocky & Rocky 2;Natsume;Nov-94
Populous;Acclaim;Sep-91
Porky Pig's Haunted Holiday;Acclaim;Oct-95
Power Instinct;Atlus Software;Dec-94
Power Moves;Kaneko;Jan-93
Power Piggs of the Dark Ages;Titus;May-96
Power Rangers Zeo:  Battle Racers;Bandai;Sep-96
Prehistorik Man;Titus;Jan-96
Primal Rage;Time Warner;Aug-95
Prince of Persia ;Konami;Nov-92
Prince of Persia 2: The Shadow and the Flame;Titus;Oct-96
Pro Quarterback;Tradewest;Dec-92
Pro Sport Hockey;Jaleco;Feb-94
Push-Over;Ocean;Dec-92
Q*Bert 3 ;NTVIC;Oct-92
Race Drivin';THQ;Oct-92
Radical Rex;Activision;Oct-94
Raiden Trad;Electro Brain;Apr-92
Rampart;Electronic Arts;Aug-92
Ranma �: Hard Battle;DTMC;Nov-93
Rap Jam: Volume One ;Mandingo;Jan-95
Realm;Titus;Dec-96
Red Line: F-1 Racer;Absolute;Sep-93
Relief Pitcher;Left Field Ent.;May-94
Ren & Stimpy Show Part II: Fire Dogs ;THQ;Jun-94
"Ren & Stimpy Show: Buckaroo$, The";THQ;Apr-95
"Ren & Stimpy Show: Time Warp, The";THQ;Nov-94
"Ren & Stimpy Show: Veediots!, The";THQ;Oct-93
Revolution X;Acclaim;Dec-95
Rex Ronan: Experimental Surgeon;Raya Systems;May-94
Riddick Bowe Boxing;Extreme;Jan-94
Rise of the Phoenix;Koei;Feb-95
Rise of the Robots;Acclaim;Dec-94
Rival Turf!;Jaleco;Apr-92
Road Riot 4WD;THQ;Nov-92
Road Runner's Death Valley Rally;Sunsoft;Nov-92
RoboCop 3 ;Ocean;Sep-92
RoboCop versus the Terminator ;Virgin Interactive;Nov-93
Robotrek;Enix;Oct-94
Rock 'N Roll Racing;Interplay;Sep-93
"Rocketeer, The";IGS;May-92
Rocko's Modern Life: Spunky's Dangerous Day;Viacom New Media;Apr-94
Rocky Rodent;Irem;Sep-93
Roger Clemens' MVP Baseball;LJN;Sep-92
Romance of the Three Kingdoms II ;Koei;May-92
Romance of the Three Kingdoms III: Dragon of Destiny;Koei;Dec-93
Romance of the Three Kingdoms IV: Wall of Fire;Koei;Jul-95
RPM Racing;Interplay;Nov-91
R-Type III: The Third Lightning;Jaleco;Oct-94
Run Saber;Atlus Software;Sep-93
S.O.S.;Vic Tokai;Apr-94
S.O.S. Sink or Swim;Titus;Jan-96
S.W.A.T. Kats: The Radical Squadron;Hudson Soft;Aug-95
Samurai Shodown;Takara;Nov-94
Saturday Night Slam Masters;Capcom;Jun-94
Scooby Doo;Majesco;Nov-95
SeaQuest: DSV;Malibu Games;Jan-95
Secret of Evermore;Square Soft;Oct-95
Secret of Mana ;Square Soft;Oct-93
Shadowrun;Data East;May-93
Shanghai II: Dragon's Eye;Activision;Feb-93
Shaq Fu;Electronic Arts;Oct-94
Shien's Revenge;Vic Tokai;Oct-94
Sid Meier's Civilization;Koei;Nov-95
Side Pocket;Data East;Dec-93
SimAnt: The Electronic Ant Colony;Maxis Software;Oct-93
SimCity ;Nintendo;Aug-91
SimCity 2000;Black Pearl Software;Nov-96
SimEarth: The Living Planet ;FCI;Feb-93
"Simpsons: Bart's Nightmare, The";Acclaim;Sep-92
"Simpsons: Virtual Bart, The";Acclaim;Sep-94
Sk�ljagger: Revolt of the Westicans;American Softworks;Oct-92
Skyblazer;Sony Imagesoft;Jan-94
SmartBall;Sony Imagesoft;Mar-92
Snow White: Happily Ever After;American Softworks;Oct-94
Soldiers of Fortune;Spectrum Holobyte;Dec-93
Sonic Blastman;Taito Software;Feb-93
Sonic Blastman 2 ;Taito Software;Nov-94
Soul Blazer ;Enix;Aug-92
Space Ace;Absolute;May-94
Space Football: One on One;Triffix;Jun-92
